i32SetTemperatureValue, f32ActualTemperatureValue, f32AmbientTemperatureValue, i32ControllerOutput,
4000, 485, 10, 5000, 
4000, 936.25, 10, 5000, 
4000, 1364.95, 10, 5000, 
4000, 1772.25, 10, 5000, 
4000, 2159.15, 10, 5000, 
4000, 2526.7, 10, 5000, 
4000, 2875.9, 10, 5000, 
4000, 3207.65, 10, 5000, 
4000, 3497.35, 10, 4732, 
4000, 3658.45, 10, 3531, 
4000, 3750.4, 10, 2888, 
4000, 3804.9, 10, 2542, 
4000, 3839.2, 10, 2358, 
4000, 3861.6, 10, 2251, 
4000, 3877.95, 10, 2199, 
4000, 3890.75, 10, 2170, 
4000, 3900.9, 10, 2149, 
4000, 3909.7, 10, 2140, 
4000, 3917.2, 10, 2131, 
4000, 3923.75, 10, 2125, 
4000, 3929.95, 10, 2125, 
4000, 3935.75, 10, 2124, 
4000, 3940.9, 10, 2120, 
4000, 3945.7, 10, 2119, 
4000, 3949.95, 10, 2116, 
4000, 3954, 10, 2116, 
4000, 3957.75, 10, 2115, 
4000, 3961.05, 10, 2112, 
4000, 3963.8, 10, 2108, 
4000, 3966.85, 10, 2113, 
4000, 3969.6, 10, 2111, 
4000, 3971.9, 10, 2108, 
4000, 3974.3, 10, 2110, 
4000, 3976.1, 10, 2105, 
4000, 3977.8, 10, 2105, 
4000, 3979.8, 10, 2109, 
4000, 3981.5, 10, 2107, 
4000, 3982.9, 10, 2105, 
4000, 3984.45, 10, 2107, 
4000, 3985.55, 10, 2103, 
4000, 3986.7, 10, 2104, 
4000, 3987.85, 10, 2105, 
4000, 3988.95, 10, 2105, 
4000, 3989.9, 10, 2104, 
4000, 3990.7, 10, 2103, 
4000, 3991.4, 10, 2102, 
4000, 3991.95, 10, 2101, 
4000, 3992.75, 10, 2104, 
4000, 3993.35, 10, 2102, 
4000, 3993.7, 10, 2100, 
4000, 3994.3, 10, 2103, 
4000, 3994.6, 10, 2100, 
4000, 3995.1, 10, 2102, 
4000, 3995.25, 10, 2099, 
4000, 3995.6, 10, 2101, 
4000, 3996.15, 10, 2103, 
4000, 3996.35, 10, 2100, 
4000, 3996.65, 10, 2101, 
4000, 3997.15, 10, 2103, 
4000, 3997.2, 10, 2099, 
4000, 3997.35, 10, 2100, 
4000, 3997.6, 10, 2101, 
4000, 3997.95, 10, 2102, 
4000, 3998.35, 10, 2103, 
4000, 3998.35, 10, 2099, 
4000, 3998.45, 10, 2100, 
4000, 3998.65, 10, 2101, 
4000, 3998.85, 10, 2101, 
4000, 3999.1, 10, 2102, 
4000, 3999, 10, 2098, 
4000, 3998.9, 10, 2098, 
4000, 3999.25, 10, 2103, 
4000, 3999.2, 10, 2099, 
4000, 3999.15, 10, 2099, 
4000, 3999.2, 10, 2100, 
4000, 3999.25, 10, 2100, 
4000, 3999.3, 10, 2100, 
4000, 3999.45, 10, 2101, 
4000, 3999.6, 10, 2101, 
4000, 3999.75, 10, 2101, 
4000, 4000, 10, 2102, 
4000, 3999.75, 10, 2097, 
4000, 4000, 10, 2102, 
4000, 3999.75, 10, 2097, 
4000, 4000, 10, 2102,
