<<<START>>>
u64TimeSinceTestBeginMs,eTestProcessState,i16SpeedSetValueRpm,i16SpeedActualValueRpm,i16CurrentSetValue,
10,2,2500,0,5000,
20,2,2500,0,5000,
30,2,2500,0,5000,
40,2,2500,276,4500,
50,2,2500,408,4345,
60,2,2500,480,4306,
70,2,2500,642,4079,
80,2,2500,810,3831,
90,2,2500,954,3625,
100,2,2500,1068,3464,
110,2,2500,1194,3273,
120,2,2500,1290,3138,
130,2,2500,1398,2974,
140,2,2500,1470,2878,
150,2,2500,1560,2742,
160,2,2500,1632,2638,
170,2,2500,1704,2531,
180,2,2500,1770,2434,
190,2,2500,1854,2297,
200,2,2500,1896,2241,
210,2,2500,1938,2184,
220,2,2500,1992,2099,
230,2,2500,2046,2013,
240,2,2500,2070,1984,
250,2,2500,2148,1846,
260,2,2500,2178,1802,
270,2,2500,2178,1817,
280,2,2500,2220,1746,
290,2,2500,2262,1673,
300,2,2500,2286,1635,
310,2,2500,2322,1572,
320,2,2500,2328,1568,
330,2,2500,2352,1527,
340,2,2500,2388,1460,
350,2,2500,2412,1418,
360,2,2500,2412,1422,
370,2,2500,2424,1401,
380,2,2500,2436,1380,
390,2,2500,2472,1310,
400,2,2500,2466,1323,
410,2,2500,2496,1264,
420,2,2500,2490,1276,
430,2,2500,2526,1204,
440,2,2500,2508,1239,
450,2,2500,2514,1227,
460,2,2500,2538,1177,
470,2,2500,2532,1188,
480,2,2500,2532,1186,
490,2,2500,2538,1173,
500,2,2500,2544,1159,
510,2,2500,2538,1168,
520,2,2500,2580,1081,
530,2,2500,2562,1114,
540,2,2500,2556,1123,
550,2,2500,2592,1048,
560,2,2500,2562,1105,
570,2,2500,2562,1102,
580,2,2500,2556,1111,
590,2,2500,2598,1023,
600,2,2500,2586,1043,
610,2,2500,2574,1063,
620,2,2500,2574,1060,
630,2,2500,2598,1009,
640,2,2500,2574,1053,
650,2,2500,2580,1037,
660,2,2500,2604,985,
670,2,2500,2592,1005,
680,2,2500,2574,1037,
690,2,2500,2580,1022,
700,2,2500,2598,982,
710,2,2500,2592,990,
720,2,2500,2568,1035,
730,2,2500,2598,971,
740,2,2500,2568,1028,
750,2,2500,2568,1024,
760,2,2500,2574,1009,
770,2,2500,2574,1006,
780,2,2500,2586,978,
790,2,2500,2568,1011,
800,2,2500,2568,1007,
810,2,2500,2562,1016,
820,2,2500,2568,1001,
830,2,2500,2568,998,
840,2,2500,2568,995,
850,2,2500,2586,955,
860,2,2500,2556,1012,
870,2,2500,2556,1009,
880,2,2500,2556,1007,
890,2,2500,2550,1016,
900,2,2500,2544,1025,
910,2,2500,2586,939,
920,2,2500,2568,971,
930,2,2500,2550,1005,
940,2,2500,2574,954,
950,2,2500,2544,1012,
960,2,2500,2550,997,
970,2,2500,2532,1031,
980,2,2500,2544,1005,
990,2,2500,2550,991,
1000,2,2500,2550,988,
1010,2,2500,2562,961,
1020,2,2500,2538,1007,
1030,2,2500,2562,957,
1040,2,2500,2532,1015,
1050,2,2500,2532,1013,
1060,2,2500,2538,1000,
1070,2,2500,2562,950,
1080,2,2500,2538,996,
1090,2,2500,2556,959,
1100,2,2500,2550,968,
1110,2,2500,2532,1002,
1120,2,2500,2556,953,
1130,2,2500,2544,974,
1140,2,2500,2526,1009,
1150,2,2500,2550,959,
1160,2,2500,2520,1018,
1170,2,2500,2526,1005,
1180,2,2500,2520,1015,
1190,2,2500,2526,1002,
1200,2,2500,2526,1001,
1210,2,2500,2550,952,
1220,2,2500,2526,999,
1230,2,2500,2508,1035,
1240,2,2500,2544,961,
1250,2,2500,2520,1007,
1260,2,2500,2550,946,
1270,2,2500,2532,981,
1280,2,2500,2520,1004,
1290,2,2500,2544,954,
1300,2,2500,2508,1025,
1310,2,2500,2508,1025,
1320,2,2500,2526,987,
1330,2,2500,2508,1023,
1340,2,2500,2532,974,
1350,2,2500,2508,1021,
1360,2,2500,2508,1020,
1370,2,2500,2508,1020,
1380,2,2500,2508,1020,
1390,2,2500,2508,1019,
1400,2,2500,2508,1019,
1410,2,2500,2508,1018,
1420,2,2500,2496,1042,
1430,2,2500,2502,1030,
1440,2,2500,2496,1041,
1450,2,2500,2532,968,
1460,2,2500,2514,1004,
1470,2,2500,2532,968,
1480,2,2500,2502,1027,
1490,2,2500,2508,1015,
1500,2,2500,2532,966,
1510,2,2500,2508,1013,
1520,2,2500,2508,1012,
1530,2,2500,2526,975,
1540,2,2500,2502,1023,
1550,2,2500,2526,974,
1560,2,2500,2502,1021,
1570,2,2500,2532,961,
1580,2,2500,2514,996,
1590,2,2500,2496,1032,
1600,2,2500,2526,971,
1610,2,2500,2496,1031,
1620,2,2500,2520,983,
1630,2,2500,2508,1006,
1640,2,2500,2496,1030,
1650,2,2500,2508,1005,
1660,2,2500,2502,1017,
1670,2,2500,2526,969,
1680,2,2500,2496,1029,
1690,2,2500,2490,1041,
1700,2,2500,2508,1004,
1710,2,2500,2496,1028,
1720,2,2500,2526,968,
1730,2,2500,2490,1040,
1740,2,2500,2514,992,
1750,2,2500,2508,1003,
1760,2,2500,2496,1028,
1770,2,2500,2508,1003,
1780,2,2500,2496,1027,
1790,2,2500,2520,979,
1800,2,2500,2490,1039,
1810,2,2500,2490,1039,
1820,2,2500,2496,1027,
1830,2,2500,2496,1028,
1840,2,2500,2496,1028,
1850,2,2500,2490,1040,
1860,2,2500,2496,1028,
1870,2,2500,2490,1040,
1880,2,2500,2502,1016,
1890,2,2500,2496,1029,
1900,2,2500,2502,1017,
1910,2,2500,2502,1017,
1920,2,2500,2496,1029,
1930,2,2500,2496,1029,
1940,2,2500,2502,1017,
1950,2,2500,2502,1017,
1960,2,2500,2502,1017,
1970,2,2500,2502,1017,
1980,2,2500,2508,1005,
1990,2,2500,2484,1053,
2000,2,2500,2490,1040,
2010,2,2500,2490,1040,
2020,2,2500,2526,968,
2030,2,2500,2502,1016,
2040,2,2500,2520,980,
2050,2,2500,2490,1040,
2060,2,2500,2484,1052,
2070,2,2500,2502,1016,
2080,2,2500,2502,1016,
2090,2,2500,2526,968,
2100,3,-2500,2496,-5000,
2110,3,-2500,2268,-5000,
2120,3,-2500,2034,-5000,
2130,3,-2500,1812,-5000,
2140,3,-2500,1590,-5000,
2150,3,-2500,1266,-5000,
2160,3,-2500,1176,-5000,
2170,3,-2500,960,-5000,
2180,3,-2500,762,-5000,
2190,3,-2500,564,-5000,
2200,3,-2500,420,-4906,
2210,3,-2500,420,-5000,
2220,3,-2500,342,-4966,
2230,3,-2500,234,-4807,
2240,3,-2500,24,-4506,
2250,3,-2500,-288,-3989,
2260,3,-2500,-486,-3687,
2270,3,-2500,-678,-3389,
2280,3,-2500,-798,-3228,
2290,3,-2500,-900,-3099,
2300,3,-2500,-1002,-2964,
2310,3,-2500,-1098,-2836,
2320,3,-2500,-1188,-2717,
2330,3,-2500,-1278,-2595,
2340,3,-2500,-1338,-2528,
2350,3,-2500,-1410,-2435,
2360,3,-2500,-1476,-2351,
2370,3,-2500,-1542,-2263,
2380,3,-2500,-1596,-2197,
2390,3,-2500,-1644,-2140,
2400,3,-2500,-1698,-2070,
2410,3,-2500,-1746,-2008,
2420,3,-2500,-1794,-1945,
2430,3,-2500,-1842,-1880,
2440,3,-2500,-1872,-1849,
2450,3,-2500,-1932,-1756,
2460,3,-2500,-1944,-1758,
2470,3,-2500,-1986,-1697,
2480,3,-2500,-2034,-1624,
2490,3,-2500,-2028,-1657,
2500,3,-2500,-2070,-1593,
2510,3,-2500,-2094,-1563,
2520,3,-2500,-2124,-1521,
2530,3,-2500,-2154,-1477,
2540,3,-2500,-2184,-1433,
2550,3,-2500,-2178,-1459,
2560,3,-2500,-2226,-1376,
2570,3,-2500,-2220,-1401,
2580,3,-2500,-2250,-1353,
2590,3,-2500,-2256,-1352,
2600,3,-2500,-2268,-1339,
2610,3,-2500,-2280,-1324,
2620,3,-2500,-2316,-1261,
2630,3,-2500,-2316,-1270,
2640,3,-2500,-2322,-1266,
2650,3,-2500,-2328,-1261,
2660,3,-2500,-2364,-1196,
2670,3,-2500,-2346,-1239,
2680,3,-2500,-2358,-1222,
2690,3,-2500,-2394,-1156,
2700,3,-2500,-2370,-1209,
2710,3,-2500,-2382,-1190,
2720,3,-2500,-2418,-1123,
2730,3,-2500,-2394,-1176,
2740,3,-2500,-2430,-1108,
2750,3,-2500,-2406,-1160,
2760,3,-2500,-2418,-1140,
2770,3,-2500,-2424,-1131,
2780,3,-2500,-2430,-1123,
2790,3,-2500,-2430,-1126,
2800,3,-2500,-2436,-1116,
2810,3,-2500,-2454,-1083,
2820,3,-2500,-2442,-1109,
2830,3,-2500,-2460,-1075,
2840,3,-2500,-2454,-1088,
2850,3,-2500,-2454,-1091,
2860,3,-2500,-2460,-1081,
2870,3,-2500,-2454,-1094,
2880,3,-2500,-2460,-1084,
2890,3,-2500,-2496,-1014,
2900,3,-2500,-2454,-1099,
2910,3,-2500,-2466,-1077,
2920,3,-2500,-2460,-1089,
2930,3,-2500,-2478,-1054,
2940,3,-2500,-2466,-1079,
2950,3,-2500,-2484,-1044,
2960,3,-2500,-2508,-996,
2970,3,-2500,-2484,-1045,
2980,3,-2500,-2514,-985,
2990,3,-2500,-2484,-1045,
3000,3,-2500,-2502,-1009,
3010,3,-2500,-2490,-1033,
3020,3,-2500,-2502,-1009,
3030,3,-2500,-2520,-973,
3040,3,-2500,-2490,-1033,
3050,3,-2500,-2520,-973,
3060,3,-2500,-2490,-1032,
3070,3,-2500,-2508,-997,
3080,3,-2500,-2496,-1020,
3090,3,-2500,-2502,-1008,
3100,3,-2500,-2526,-959,
3110,3,-2500,-2490,-1032,
3120,3,-2500,-2520,-971,
3130,3,-2500,-2490,-1031,
3140,3,-2500,-2508,-995,
3150,3,-2500,-2502,-1006,
3160,3,-2500,-2496,-1019,
3170,3,-2500,-2526,-958,
3180,3,-2500,-2490,-1030,
3190,3,-2500,-2508,-994,
3200,3,-2500,-2496,-1017,
3210,3,-2500,-2508,-993,
3220,3,-2500,-2502,-1004,
3230,3,-2500,-2496,-1016,
3240,3,-2500,-2496,-1017,
3250,3,-2500,-2484,-1040,
3260,3,-2500,-2496,-1016,
3270,3,-2500,-2520,-968,
3280,3,-2500,-2502,-1004,
3290,3,-2500,-2526,-956,
3300,3,-2500,-2484,-1040,
3310,3,-2500,-2496,-1016,
3320,3,-2500,-2484,-1039,
3330,3,-2500,-2502,-1003,
3340,3,-2500,-2526,-955,
3350,3,-2500,-2502,-1003,
3360,3,-2500,-2502,-1003,
3370,3,-2500,-2484,-1038,
3380,3,-2500,-2502,-1002,
3390,3,-2500,-2502,-1002,
3400,3,-2500,-2502,-1002,
3410,3,-2500,-2508,-990,
3420,3,-2500,-2502,-1002,
3430,3,-2500,-2502,-1002,
3440,3,-2500,-2502,-1001,
3450,3,-2500,-2508,-989,
3460,3,-2500,-2508,-989,
3470,3,-2500,-2502,-1001,
3480,3,-2500,-2508,-989,
3490,3,-2500,-2514,-976,
3500,3,-2500,-2526,-951,
3510,3,-2500,-2502,-999,
3520,3,-2500,-2526,-950,
3530,3,-2500,-2502,-998,
3540,3,-2500,-2514,-973,
3550,3,-2500,-2502,-996,
3560,3,-2500,-2502,-996,
3570,3,-2500,-2526,-947,
3580,3,-2500,-2502,-995,
3590,3,-2500,-2514,-971,
3600,3,-2500,-2508,-982,
3610,3,-2500,-2502,-993,
3620,3,-2500,-2532,-933,
3630,3,-2500,-2502,-992,
3640,3,-2500,-2514,-968,
3650,3,-2500,-2502,-991,
3660,3,-2500,-2508,-979,
3670,3,-2500,-2532,-930,
3680,3,-2500,-2496,-1002,
3690,3,-2500,-2526,-941,
3700,3,-2500,-2496,-1001,
3710,3,-2500,-2508,-977,
3720,3,-2500,-2502,-988,
3730,3,-2500,-2496,-1000,
3740,3,-2500,-2526,-939,
3750,3,-2500,-2490,-1011,
3760,3,-2500,-2508,-975,
